type,ld
2,A1A
1,AA
1,AB
1,AC
1,AD
1,AE
1,AF
1,AG
1,AH
1,AI
1,AJ
1,AK
1,AL
1,AM
1,AN
1,AO
1,AP
1,AQ
1,AR
1,AS
2,B1A
1,BA
1,BB
2,C1A
2,C1B
2,C1C
2,C1D
2,C1E
2,C1F
2,C1G
2,CA
2,CB
2,CC
2,CD
2,CE
2,CF
2,CG
2,CH
2,CI
2,CJ
2,CK
2,D1A
2,DA
2,DB
2,DC
2,DD
2,DE
2,DF
2,E1A
2,EA
2,EB
2,EC
2,ED
2,EE
2,EF
2,EG
2,EH
2,EI
2,F1A
2,F1B
2,F1C
2,F1D
2,FA
2,FB
2,FC
2,FD
2,FE
2,FF
2,FG
2,FH
2,FI
2,G1A
2,G1B
2,GA
2,GB
2,GC
2,GD
2,GE
2,GF
2,GG
2,GH
2,GI
2,GJ
2,GK
2,GL
2,GM
2,GN
2,H1A
2,H1B
2,HA
2,HB
2,HC
2,HD
2,HE
2,HF
2,HG
2,HH
2,HI
2,HJ
2,HK
2,HL
2,HM
2,HN
2,HO
2,HP
1,IA
1,IB
1,IC
1,ID
1,IE
1,IF
1,IG
1,IH
1,JA
1,JB
1,JC
1,JD
1,JE
1,KA
1,KB
1,KC
1,KD
1,KE
1,KF
1,KG
1,KH
1,KI
1,LA
1,LB
2,MA
2,MB
1,NA
1,NB
1,NC
1,ND
1,NE
2,OA
2,OB
2,OC
2,PA
2,PB
2,PC
2,PD
2,PE
2,PF
2,PG
2,PH
2,PI
2,PJ
2,PK
2,PL
2,PM
2,PN
2,PO
2,PP
2,PQ
2,PR
2,PS
2,PT
2,PU
2,PV
2,PW
1,QA
1,QB
1,QC
1,QD
2,SA
2,SB
2,SC
2,SD
2,SE
2,SF
1,TA
1,TB
1,TC
1,TD
1,TE
1,TF
2,UA
2,UB
2,UC
2,UD
2,VA
2,VB
2,VC
2,VD
2,VE
2,VF
2,VG
2,VH
2,VI
2,VJ
2,VK
2,VL
2,WA
2,WB
2,WC
2,WD
2,WE
2,WF
2,WG
2,WH
2,XA
2,YA
2,YB
2,YD
2,YE
2,YF
2,YG
2,YH
2,YI
2,YJ
2,ZA
2,ZFJSK1
2,ZFJSK8
2,ZFJSK17
2,ZFJSK25
2,ZFJSK26
2,ZFJSK30
2,ZFJSK31
2,ZFJSK35
2,ZHHG1
2,ZHI1
2,ZI6
2,ZI7
2,ZMTKD1
2,ZMTKD2
2,ZMTKD4
2,ZMTKD5
2,ZMTKD6
2,ZMTKD8
2,ZMTKD9
2,ZMTKD11
2,ZMTKD21
2,ZMTKD22
2,ZMTKD23
2,ZMTKD31
2,ZYSTK1
2,ZYSTK2
2,ZYSTK6
2,ZYSTK7
2,ZYSTK8
2,ZYSTK9
