type,ld,,,,,,,,,,,,,,,,,,,,,
2,ARTK1,,,,,,,,,,,,,,,,,,,,2,SMTG8
2,ARTK3,,,,,,,,,,REMOVED,,,,,,,,,,2,SMTG9
2,ARTK4,,,,,,,,,,HI36,,,,,,,,,,2,SMTG10
2,ARTK5,,,,,,,,,,HG4,,,,,,,,,,2,SMTG11
2,ARTK6,,,,,,,,,,IMJGR7,,,,,,,,,,2,SMTG12
2,ARTK7,,,,,,,,,,IMJGR8,,,,,,,,,,2,SMTG13
2,ARTK8,,,,,,,,,,,,,,,,,,,,2,SMTG14
2,ARTK11,,,,,,,,,,,,,,,,,,,,2,SMTG15
2,ARTK12,,,,,,,,,,,,,,,,,,,,2,SMTG16
2,ARTK13,,,,,,,,,,,,,,,,,,,,2,SMTG17
2,ARTK14,,,,,,,,,,,,,,,,,,,,2,SMTG19
2,ARTK15,,,,,,,,,,,,,,,,,,,,2,SMTG20
2,ARTK16,,,,,,,,,,,,,,,,,,,,2,SS1
2,ARTK17,,,,,,,,,,,,,,,,,,,,2,SS2
2,ARTK18,,,,,,,,,,,,,,,,,,,,2,SS3
2,ARTK19,,,,,,,,,,,,,,,,,,,,2,SS4
3,FSGI2,,,,,,,,,,,,,,,,,,,,2,SS5
3,FSGI3,,,,,,,,,,,,,,,,,,,,2,SS6
3,GJK1,,,,,,,,,,,,,,,,,,,,2,SS7
3,GJK2,,,,,,,,,,,,,,,,,,,,2,SS8
3,GJK3,,,,,,,,,,,,,,,,,,,,2,SS9
3,GJK4,,,,,,,,,,,,,,,,,,,,2,SS10
3,GJK5,,,,,,,,,,,,,,,,,,,,2,SS11
3,H1,,,,,,,,,,,,,,,,,,,,2,SS12
3,H2,,,,,,,,,,,,,,,,,,,,2,SS13
3,H3,,,,,,,,,,,,,,,,,,,,2,SS14
3,H4,,,,,,,,,,,,,,,,,,,,2,SS15
3,H5,,,,,,,,,,,,,,,,,,,,2,SS16
3,H6,,,,,,,,,,,,,,,,,,,,2,SS17
3,H7,,,,,,,,,,,,,,,,,,,,2,SS18
3,H9,,,,,,,,,,,,,,,,,,,,2,SS19
2,HG1,,,,,,,,,,,,,,,,,,,,2,SS20
2,HG2,,,,,,,,,,,,,,,,,,,,2,SS21
2,HG3,,,,,,,,,,,,,,,,,,,,2,SS22
2,HG5,,,,,,,,,,,,,,,,,,,,2,SS23
2,HG6,,,,,,,,,,,,,,,,,,,,2,SS24
2,HG7,,,,,,,,,,,,,,,,,,,,2,SS25
2,HG8,,,,,,,,,,,,,,,,,,,,2,SS27
2,HI1,,,,,,,,,,,,,,,,,,,,2,SS28
2,HI2,,,,,,,,,,,,,,,,,,,,2,SS29
2,HI3,,,,,,,,,,,,,,,,,,,,2,SS30
2,HI4,,,,,,,,,,,,,,,,,,,,2,SS31
2,HI5,,,,,,,,,,,,,,,,,,,,2,SS32
2,HI6,,,,,,,,,,,,,,,,,,,,2,SS34
2,HI7,,,,,,,,,,,,,,,,,,,,2,SS35
2,HI8,,,,,,,,,,,,,,,,,,,,2,SS37
2,HI9,,,,,,,,,,,,,,,,,,,,2,SS38
2,HI10,,,,,,,,,,,,,,,,,,,,2,SS39
